experiment_id,seed,coord_0,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,radius_0,radius_1,radius_2,radius_3,dscs_angle_10,dscs_angle_20,dscs_angle_40,dscs_angle_60,dscs_angle_70,dscs_angle_80,dscs_angle_100,dscs_angle_120,dscs_angle_140,dscs_angle_160,hyperparam_object_type,hyperparam_vacuum_wavelength,hyperparam_side_length,hyperparam_number_of_cells,hyperparam_refractive_index,hyperparam_polar_angle,hyperparam_azimuthal_angle,hyperparam_polarization
experiment_5508,5508,0.22409288860125742,0.725492878261793,0.6390938550301747,0.18923435685613454,0.9817696833101707,0.5153109003223445,0.5271037240697891,0.4013884493604386,0.08330385751664171,0.0929102427589813,0.025219333040137903,0.18141840284386523,0.01698535852816622,0.010789066208162295,0.0030608427116589443,0.005258834187995511,0.005593640561610717,0.0055932341624564084,0.009536508389076184,0.013187837321617778,0.03158039080231828,0.07384158011775586,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_490,490,0.6056182701065128,0.14777576010449822,0.5114823410044205,0.6927453045812595,0.8870721646164595,0.31374652799283664,0.16151019415787793,0.7407924025041069,0.09022482223311679,0.9539918768016642,0.8350967560599647,0.6302155769997392,0.0900345658850531,0.04235964739747771,0.015110728068284349,0.00819411569144806,0.009308062199855477,0.004072750918013452,0.01429973252797266,0.017442121838350148,0.03865212141766379,0.3489905816797893,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_3895,3895,0.5966028808248052,0.6621793779454995,0.09640863188443027,0.9789030203641795,0.4213574575702367,0.6872292078342798,0.21424541652777707,0.7740118253223062,0.9753743155790879,0.10596750579879932,0.5128432309395728,0.8216917798112824,0.18772080161796798,0.10482501710981747,0.020751483264969766,0.013997587462079575,0.01213707150174667,0.004648683765511317,0.02134256831482723,0.02287930544658801,0.04291340177569469,0.4943740719060411,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_2947,2947,0.04652299371347257,0.1526879410498604,0.7459768794663635,0.9350599446808555,0.28378508602274555,0.0922217030171546,0.1357128974833297,0.22493280098772073,0.1715876706174514,0.25336193069344015,0.9959139831006418,0.5509352553229546,0.1353322111712291,0.057291711462065,0.02982605834376699,0.018116519172327306,0.016573348867598633,0.01062296422624297,0.022154496507785802,0.0346199298153531,0.08520329716341407,0.45590475013011617,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_2349,2349,0.9512984158981928,0.7372913623527051,0.6280037117020291,0.6394261068471706,0.31879782099165177,0.2594505027703765,0.9225709807724467,0.4540207080514196,0.2235467012094613,0.24285142756628075,0.4278456795137259,0.17326776361837126,0.10562425592084647,0.08437856490763324,0.02756415923858735,0.019470954838376683,0.021432799583699244,0.018193875213379597,0.027563542248862444,0.03418179385938994,0.06396317386220637,0.20035258906466885,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_5950,5950,0.9275740585589765,0.7308433469064263,0.63868570410928,0.0813302135144468,0.8217830448084741,0.9879690152877326,0.7316522865185648,0.5217735854404774,0.49359389809811427,0.6932441289979195,0.5618002105201033,0.4787800974045482,0.09453588028826343,0.05603510804757452,0.036262646315182404,0.011674879900931651,0.018519525242852334,0.008813841218576366,0.016892305611039257,0.04039157691996447,0.061747738652050306,1.4620873850800356,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_4882,4882,0.6214760193187433,0.9996255513488755,0.261926642168159,0.7219678053368055,0.0016897520879360917,0.3444262195146677,0.22150875030017403,0.13850566980069867,0.06606046350198702,0.382637580211436,0.555712930391067,0.004123401421047057,0.07991405270853495,0.041728026526838956,0.020153132863973123,0.012507333622488931,0.016082792476523704,0.007102724134315928,0.0256578085795977,0.03397506094578928,0.05925872574020643,0.47008293165166043,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_3406,3406,0.44778817144223537,0.429921054557484,0.7754118709839544,0.37537171615591547,0.6194470399251365,0.7088158534313687,0.9553207525988118,0.6110608280461097,0.8726349305289917,0.526363637520542,0.7719511544173597,0.6477267539069139,0.19179764771917543,0.11082562817450747,0.02441559576846359,0.014792490148724744,0.015815117560551834,0.0042814345128056475,0.021090130775613676,0.03488955720554909,0.0481356195282686,0.831436824589236,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_1351,1351,0.1394545201716868,0.09031889883013833,0.4890997714533649,0.21628495604520925,0.13646970548742043,0.4217555951069284,0.30141454579293114,0.9443509265306647,0.467140635679551,0.10366878159931991,0.9675627338566126,0.20127627876643006,0.08916071524956065,0.07454141818959076,0.020982958918172118,0.01341760169756326,0.012079338495139426,0.0077910907140639725,0.025088508072214147,0.022090214224376802,0.04826879366031163,0.38737902006583724,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_4623,4623,0.7501360411868028,0.11666392279332227,0.6207503461533602,0.5331250207317002,0.34916529528015916,0.3411522699080669,0.8595777159919918,0.815829830409918,0.9712331604485549,0.138268303922353,0.47046864766413365,0.7102301069196116,0.2136025552980398,0.10576225655934576,0.02172664538931351,0.014271872457159896,0.015251756000444648,0.007120695089798416,0.0205536630960205,0.032975180759323375,0.060068538209168125,0.6853063074020452,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_1163,1163,0.39538186778027096,0.8273879884810169,0.20501514560644918,0.3470137918168662,0.9150722775716654,0.6131423751188022,0.9180115666541002,0.6927607218027745,0.26075068522571543,0.19448023083678034,0.3884560676880324,0.39915776892447263,0.10960928133842975,0.0500387533284398,0.024661290950706842,0.02622822393326855,0.023326046055257683,0.01227829081918444,0.045724305236548406,0.04021897328462109,0.11296374306090312,0.3248679736703213,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_4411,4411,0.02111420119778029,0.9140974842885039,0.8729231746341747,0.10090415152055898,0.3706794638716411,0.6834438846516125,0.39957898273356285,0.2819029380098962,0.3515017350753732,0.8638172127636612,0.9951398868588271,0.5147745987838535,0.19111308904126778,0.07800144062690505,0.023900871950286767,0.014461701076950552,0.0130107610905304,0.009550686912239427,0.016030997989126324,0.047649438968126304,0.05078647120396953,0.873463578099493,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_669,669,0.5933965228367344,0.6799670890245711,0.09190252009970623,0.27011747123296415,0.4880855797445999,0.6168088906090059,0.6018855589273508,0.8849090328394971,0.3751624589791398,0.32359097696081285,0.44622381798121913,0.049421392486896476,0.07834766869404657,0.04387469896207966,0.027842965282955844,0.013446777330799454,0.019913972038541176,0.013460807323152999,0.023564492292106252,0.04039775888231604,0.08769132560676875,0.5973343267779734,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
experiment_3634,3634,0.4268347782328331,0.7874168120212199,0.6629908384803972,0.20879363874077284,0.1625520419694012,0.8005301279485814,0.4444105245529171,0.15341780734255328,0.5963940867445959,0.7032950266128208,0.16755293343004563,0.5979805526007911,0.24390287104878064,0.06873443128478746,0.034910239047299584,0.020972103726782217,0.01872158928691565,0.010568177208900801,0.028130597732503343,0.031316007268021806,0.0668966488490342,0.6008642865591045,Sphere_surface,1.0,10.0,2,2.0,3.141592653589793,0.0,0
